tag,content,name
LOCATION,EXT. HEATH - THUNDERING STORM - DAY,
STATEMENT,"Three Witches enter amidst thunder and lightning, their presence ominous and unsettling.",
DIALOGUE,"Padock calls anon: fair is foul, and foul is fair, hover through the fog and filthy air.",ALL
STATEMENT,"The Witches exit, leaving an eerie silence in their wake.",
LOCATION,INT. KING'S CAMP - DAY,
STATEMENT,"The scene shifts to a tense atmosphere as the King, Malcom, Donalbain, and Lennox meet a wounded Captain.",
DIALOGUE,"What bloody man is that? He can report, as seems by his plight, of the revolt the newest state.",KING
DIALOGUE,"This is the Sergeant, who like a good and hardy soldier fought against my captivity.",MALCOLM
DIALOGUE,"Doubtful it stood, as two spent swimmers, that do cling together and choke their art...",CAPTAIN
STATEMENT,"The Captain recounts the fierce battle with Macdonwald, praising Macbeth for his valor as a warrior.",
DIALOGUE,"O valiant cousin, worthy gentleman!",KING
DIALOGUE,"As whence the sun begins his reflection, shipwracking storms and direful thunders...",CAPTAIN
DIALOGUE,"Dismayed not this our captains, Macbeth and Banquo?",KING
DIALOGUE,"Yes, as sparrows, eagles; or the hare, the lion...",CAPTAIN
DIALOGUE,"So well thy words become thee, as thy wounds; they smack of honor both. Go get him surgeons.",KING
LOCATION,EXT. HEATH - DAY,
STATEMENT,"Thunder rolls as the three Witches reconvene, their intentions mysterious.",
STATEMENT,"They chant together, invoking dark powers as Macbeth and Banquo approach.",
LOCATION,EXT. HEATH - DAY,
STATEMENT,"Macbeth and Banquo arrive, puzzled by the Witches' appearance.",
DIALOGUE,So foul and fair a day I have not seen.,MACBETH
DIALOGUE,"How far is't call'd to Soris? What are these, so withered and so wild in their attire?",BANQUO
DIALOGUE,Speak if you can: what are you?,MACBETH
DIALOGUE,"Good sir, why do you start, and seem to fear things that do sound so fair?",BANQUO
DIALOGUE,"If you can look into the seeds of time, and say which grain will grow, and which will not, speak then to me!",BANQUO
LOCATION,EXT. BLASTED HEATH - DAY,
STATEMENT,"The eerie landscape of the blasted heath is shrouded in mist. Three witches, with wild and disheveled appearances, gather in a circle, their eyes glinting with supernatural knowledge.",
DIALOGUE,"All hail, Macbeth, and Banquo!",WITCHES
DIALOGUE,So foul and fair a day I have not seen.,MACBETH
DIALOGUE,"How far is't call'd to Soris? What are these, so withered and so wild in their attire?",BANQUO
DIALOGUE,Speak if you can: what are you?,MACBETH
DIALOGUE,"Good sir, why do you start, and seem to fear things that do sound so fair?",BANQUO
DIALOGUE,"If you can look into the seeds of time, and say which grain will grow, and which will not, speak then to me!",BANQUO
STATEMENT,"The witches cackle and chant, their voices intertwining as they prophesy the fates of Macbeth and Banquo.",
DIALOGUE,"Lesser than Macbeth, and greater. Not so happy, yet much happier. Thou shalt get kings, though thou be none!",WITCHES
STATEMENT,"The witches begin to dissipate into the mist, leaving Macbeth and Banquo in stunned silence.",
LOCATION,EXT. BLASTED HEATH - MOMENTS LATER,
STATEMENT,"Macbeth and Banquo exchange bewildered glances, grappling with the weight of the witches' words.",
DIALOGUE,"Stay you imperfect speakers, tell me more: By Sinel's death, I know I am Thane of Glamis. But how of Cawdor? The Thane of Cawdor lives a prosperous gentleman.",MACBETH
DIALOGUE,"The earth hath bubbles, as the water has, and these are of them: whither are they vanished?",BANQUO
